Dateiname,Protokoll,Format,QoS,PayloadGroesse,Run,Paketanzahl_Hinweg,Paketanzahl_Datenpakete,GesamtBytes_Hinweg,HeaderBytes_ETH,HeaderBytes_IP,HeaderBytes_Transport
kke_http_json_10000000B_run1,http,json,N/A,10000000,run1,317,303,10021323,4438,6340,10160
kke_http_json_10000000B_run2,http,json,N/A,10000000,run2,272,258,10018977,3808,5440,8720
kke_http_json_10000000B_run3,http,json,N/A,10000000,run3,257,243,10018555,3598,5140,8240
kke_http_json_1000000B_run1,http,json,N/A,1000000,run1,65,51,1004690,910,1300,2096
kke_http_json_1000000B_run2,http,json,N/A,1000000,run2,61,47,1005618,854,1220,1968
kke_http_json_1000000B_run3,http,json,N/A,1000000,run3,72,58,1005152,1008,1440,2320
kke_http_json_100000B_run1,http,json,N/A,100000,run1,24,10,101967,336,480,784
kke_http_json_100000B_run2,http,json,N/A,100000,run2,26,12,102771,364,520,848
kke_http_json_100000B_run3,http,json,N/A,100000,run3,26,12,103635,364,520,848
kke_http_json_10000B_run1,http,json,N/A,10000,run1,16,2,11438,224,320,528
kke_http_json_10000B_run2,http,json,N/A,10000,run2,16,2,11438,224,320,528
kke_http_json_10000B_run3,http,json,N/A,10000,run3,16,2,11438,224,320,528
kke_http_json_1000B_run1,http,json,N/A,1000,run1,15,1,2371,210,300,496
kke_http_json_1000B_run2,http,json,N/A,1000,run2,15,1,2371,210,300,496
kke_http_json_1000B_run3,http,json,N/A,1000,run3,15,1,2371,210,300,496
kke_http_json_100B_run1,http,json,N/A,100,run1,15,1,1470,210,300,496
kke_http_json_100B_run2,http,json,N/A,100,run2,15,1,1470,210,300,496
kke_http_json_100B_run3,http,json,N/A,100,run3,15,1,1470,210,300,496
kke_coap_json_10000000B_run1,coap,json,N/A,10000000,run1,19533,19532,11304600,273462,390660,0
kke_coap_json_10000000B_run2,coap,json,N/A,10000000,run2,19533,19532,11304600,273462,390660,0
kke_coap_json_10000000B_run3,coap,json,N/A,10000000,run3,19533,19532,11304600,273462,390660,0
kke_coap_json_1000000B_run1,coap,json,N/A,1000000,run1,1955,1954,1129016,27370,39100,0
kke_coap_json_1000000B_run2,coap,json,N/A,1000000,run2,1955,1954,1129016,27370,39100,0
kke_coap_json_1000000B_run3,coap,json,N/A,1000000,run3,1955,1954,1129016,27370,39100,0
kke_coap_json_100000B_run1,coap,json,N/A,100000,run1,197,196,112988,2758,3940,0
kke_coap_json_100000B_run2,coap,json,N/A,100000,run2,197,196,112988,2758,3940,0
