Protokoll,Format,PayloadGroesse,Run,Serialization_ns,Deserialization_ns,RTT_Anwendung_ns
http,json,100,run1,30679157,36430020,317056006
http,json,100,run2,20407855,23420503,201428933
http,json,100,run3,21492926,25742677,199071801
http,json,1000,run1,18549674,23537578,178938788
http,json,1000,run2,17221329,22505210,193973178
http,json,1000,run3,17369787,24088839,189128902
http,json,10000,run1,17148976,23386077,181181853
http,json,10000,run2,19543353,23051593,194080290
http,json,10000,run3,18739414,26139158,209183668
http,json,100000,run1,19585752,26442159,197772883
http,json,100000,run2,19184287,26040312,208444786
http,json,100000,run3,19192161,25246645,195263951
http,json,1000000,run1,27856733,47570210,227220829
http,json,1000000,run2,26219113,36486402,223151942
http,json,1000000,run3,25935534,36665940,212509029
http,json,10000000,run1,85202385,122388755,398486956
http,json,10000000,run2,47370649,70540000,272750003
http,json,10000000,run3,49051659,70269832,308122481
http,xml,100,run1,32671153,59077570,344263660
http,xml,100,run2,33697363,51602142,328590672
http,xml,100,run3,26597818,35546607,261728591
http,xml,1000,run1,30443689,38868535,258058543
http,xml,1000,run2,25150615,37711950,241569044
http,xml,1000,run3,26426342,42309049,274913725
http,xml,10000,run1,24896996,35201152,224825543
http,xml,10000,run2,24590246,40461393,246482779
http,xml,10000,run3,25503734,35871398,239038331
http,xml,100000,run1,26687113,45001285,237733293
http,xml,100000,run2,27787690,40968336,237556486
http,xml,100000,run3,26147783,39966008,235350828
http,xml,1000000,run1,33946913,52154159,276038256
http,xml,1000000,run2,32628676,59028985,279628760
http,xml,1000000,run3,32628164,51873388,260539404
http,xml,10000000,run1,87957837,153232623,449144622
http,xml,10000000,run2,67371703,201905734,573622376
http,xml,10000000,run3,73759258,108014003,417303841
http,messagepack,100,run1,25077925,28424787,215166001
http,messagepack,100,run2,20679156,29145411,201599760
http,messagepack,100,run3,19839575,28528055,197462700
http,messagepack,1000,run1,21907856,26376454,191364997
http,messagepack,1000,run2,22392903,27616896,195912367
http,messagepack,1000,run3,20872635,26024105,211767440
http,messagepack,10000,run1,20540700,32769412,211858472
http,messagepack,10000,run2,24729699,25710638,206609298
http,messagepack,10000,run3,21776252,26138319,202579974
http,messagepack,100000,run1,24338432,29547776,210332158
http,messagepack,100000,run2,19422243,27534796,209001632
http,messagepack,100000,run3,19797807,27105325,195713509
http,messagepack,1000000,run1,20163146,26161978,196061425
http,messagepack,1000000,run2,21324533,26893988,204839572
