Testfall,Datenformat,Groesse_Bytes,Serialisierungszeit_ns,Deserialisierungszeit_ns,CPU_Zeit_s,Status
"Person (10k Durchläufe)",JSON,63,1272,2199,0.1094,Erfolgreich
"Person (10k Durchläufe)",XML,145,130225,190418,6.7813,Erfolgreich
"Person (10k Durchläufe)",CSV,36,2795,529,0.1094,Erfolgreich
"Person (10k Durchläufe)",MessagePack,51,1798,2420,0.2188,Erfolgreich
"Person (10k Durchläufe)",CBOR,53,1328,1873,0.1094,Erfolgreich
"Person (10k Durchläufe)",YAML,63,4188,8407,0.5156,Erfolgreich
"Person (10k Durchläufe)",Avro,36,1086,1928,0.1406,Erfolgreich
"Person (10k Durchläufe)",Thrift,"[FEHLER: 1024]",424,398,"[FEHLER: 0.0000]",Erfolgreich
"Person (10k Durchläufe)",Protobuf,38,475,333,0.0781,Erfolgreich
"Person (10k Durchläufe)",BSON,69,2001,2426,0.2031,Erfolgreich
"Person (10k Durchläufe)",TOML,62,4910,5848,0.5000,Erfolgreich
"Person (10k Durchläufe)",INI,73,13793,26095,1.1406,Erfolgreich
"Person (10k Durchläufe)",RDF (Turtle),268,26488,52927,3.3281,Erfolgreich
"Person (100k Durchläufe)",JSON,63,835,1462,0.8750,Erfolgreich
"Person (100k Durchläufe)",XML,145,124977,176615,37.6094,Erfolgreich
"Person (100k Durchläufe)",CSV,36,644,494,0.5469,Erfolgreich
"Person (100k Durchläufe)",MessagePack,51,1239,1594,1.2969,Erfolgreich
"Person (100k Durchläufe)",CBOR,53,611,863,0.7031,Erfolgreich
"Person (100k Durchläufe)",YAML,63,2713,5707,2.5000,Erfolgreich
"Person (100k Durchläufe)",Avro,36,556,862,0.5781,Erfolgreich
"Person (100k Durchläufe)",Thrift,"[FEHLER: 1024]",390,254,0.2031,Erfolgreich
"Person (100k Durchläufe)",Protobuf,38,227,175,0.1875,Erfolgreich
"Person (100k Durchläufe)",BSON,69,980,1155,0.7500,Erfolgreich
"Person (100k Durchläufe)",TOML,62,2517,2714,1.7188,Erfolgreich
"Person (100k Durchläufe)",INI,73,12404,24397,3.9219,Erfolgreich
"Person (100k Durchläufe)",RDF (Turtle),268,17964,38167,9.6563,Erfolgreich
